year,wage_local,currency,notes
1995,755000,BYB,old Belarusian ruble
1996,1212000,BYB,
1997,1880000,BYB,
1998,2800000,BYB,
1999,5800000,BYB,
2000,58900,BYR,redenomination 2000: 1000:1
2001,123000,BYR,
2002,189000,BYR,
2003,250000,BYR,
2004,347000,BYR,
2005,463000,BYR,
2006,590000,BYR,
2007,694000,BYR,
2008,886000,BYR,
2009,981600,BYR,
2010,1238000,BYR,
2011,1900000,BYR,devaluation crisis
2012,3740000,BYR,
2013,5061000,BYR,
2014,6052000,BYR,
2015,6715000,BYR,
2016,722,BYN,redenomination 2016-07-01: 10000:1
2017,815,BYN,
2018,971,BYN,
2019,1093,BYN,
2020,1251,BYN,
2021,1434,BYN,
2022,1658,BYN,
2023,1850,BYN,
2024,2000,BYN,
2025,2100,BYN,estimate
