year,wage_local,currency,notes
1990,3286,CSK,Czechoslovak koruna
1991,3792,CSK,
1992,4644,CSK,
1993,5904,CZK,Czech koruna from Jan 1993
1994,7004,CZK,
1995,8307,CZK,
1996,9825,CZK,
1997,10802,CZK,
1998,11801,CZK,
1999,12797,CZK,
2000,13614,CZK,
2001,14793,CZK,
2002,15866,CZK,
2003,16917,CZK,
2004,18041,CZK,
2005,18944,CZK,
2006,20211,CZK,
2007,21694,CZK,
2008,23542,CZK,
2009,23488,CZK,
2010,24526,CZK,
2011,25067,CZK,
2012,25101,CZK,
2013,25128,CZK,
2014,25768,CZK,
2015,26467,CZK,
2016,27589,CZK,
2017,29504,CZK,
2018,31885,CZK,
2019,34125,CZK,
2020,35611,CZK,
2021,37839,CZK,
2022,40353,CZK,
2023,43341,CZK,
2024,45800,CZK,
2025,48000,CZK,estimate
