year,wage_local,currency,notes
1990,2348,DEM,West Germany avg gross monthly Destatis
1991,2520,DEM,
1992,2680,DEM,
1993,2780,DEM,
1994,2850,DEM,
1995,2930,DEM,
1996,2980,DEM,
1997,3020,DEM,
1998,3060,DEM,
1999,2105,EUR,euro adoption rate 1.95583 DEM
2000,2150,EUR,
2001,2210,EUR,
2002,2270,EUR,
2003,2340,EUR,
2004,2390,EUR,
2005,2450,EUR,
2006,2520,EUR,
2007,2600,EUR,
2008,2680,EUR,
2009,2670,EUR,financial crisis
2010,2750,EUR,
2011,2850,EUR,
2012,2950,EUR,
2013,3025,EUR,
2014,3100,EUR,
2015,3190,EUR,
2016,3300,EUR,
2017,3400,EUR,
2018,3500,EUR,
2019,3600,EUR,
2020,3620,EUR,COVID
2021,3700,EUR,
2022,3850,EUR,
2023,4100,EUR,
2024,4350,EUR,
2025,4500,EUR,estimate
