"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ABW","AA:22","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2010",3013,,,"T8:127_T9:133_T10:138_T11:142_T12:145_T33:396_T30:62","S3:20"
"ABW","AA:22","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2010",1860.382,,,"T8:127_T9:133_T10:138_T11:142_T12:145_T33:396_T30:62","S3:20"
"ABW","AA:22","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2010",1683.24,,,"T8:127_T9:133_T10:138_T11:142_T12:145_T33:396_T30:62","S3:20"
"AFG","BA:15715","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2020",13202.245,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2020",836.263,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2020",171.874,"B",,"T30:110_I11:264","R1:3513"
"AFG","BB:6361","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2014",8848.569,,,"T30:110","R1:3513"
"AFG","BB:6361","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2014",517.709,,,"T30:110","R1:3513"
"AFG","BB:6361","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2014",154.567,,,"T30:110","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2024",111867.158,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2024",359.487,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2024",128.606,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2023",125379.111,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2023",501.888,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2023",183.03,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2022",96491.325,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2022",421.597,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2022",209.505,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2021",88751.625,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2021",435.722,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2021",140.554,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2020",88286.47,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2020",515.857,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2020",152.676,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2019",82234.658,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2019",565.58,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2019",225.408,"B",,"T30:2_I11:264","R1:3513"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2022",61898,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2022",1266.603,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2022",547.568,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2021",57191,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2021",1094.764,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2021",552.463,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2020",53662,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2020",1039.43,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2020",493.898,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2019",52380,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2019",1026.796,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2019",476.828,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2018",50589,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2018",961.066,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2018",468.464,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2017",48966.821,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2017",928.009,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2017",411.14,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2016",47522.434,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2016",898.583,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2016",382.806,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2015",46829,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2015",891.557,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2015",371.772,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","DA:845","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","1991",678,,"C5:2067","T8:127_T9:133_T10:138_T34:400_T33:396_T30:251","S7:56_S9:66"
"ALB","DA:845","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","1990",579,,"C5:2067","T8:127_T9:133_T10:138_T34:400_T33:396_T30:251","S7:56_S9:66"
"ALB","DA:845","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","1989",563,,"C5:2067","T8:127_T9:133_T10:138_T34:400_T33:396_T30:251","S7:56_S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2008",1946.74,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
