year,wage_local,currency,notes
1993,141,LTL,Lithuanian litas introduced
1994,325,LTL,
1995,476,LTL,
1996,598,LTL,
1997,750,LTL,
1998,875,LTL,
1999,897,LTL,
2000,971,LTL,
2001,982,LTL,
2002,1014,LTL,
2003,1073,LTL,
2004,1158,LTL,
2005,1276,LTL,
2006,1500,LTL,
2007,1802,LTL,
2008,2152,LTL,
2009,1993,LTL,crisis
2010,1988,LTL,
2011,2046,LTL,
2012,2123,LTL,
2013,2231,LTL,
2014,2364,LTL,
2015,714,EUR,euro adoption 2015-01-01 at 3.4528 LTL
2016,774,EUR,
2017,840,EUR,
2018,924,EUR,
2019,1296,EUR,after tax reform gross vs net shift
2020,1381,EUR,
2021,1504,EUR,
2022,1685,EUR,
2023,1900,EUR,
2024,2050,EUR,
2025,2200,EUR,estimate
