iso2,country,year,wage_median_eur,wage_mean_eur,median_source,source,is_forecast
DE,Germany,1991,1596.0,1832.0,ses_backcast,national_office,0
DE,Germany,1992,1745.0,2003.0,ses_backcast,national_office,0
DE,Germany,1993,1832.0,2103.0,ses_backcast,national_office,0
DE,Germany,1994,1904.0,2185.0,ses_backcast,national_office,0
DE,Germany,1995,1987.0,2281.0,ses_backcast,national_office,0
DE,Germany,1996,2042.0,2344.0,ses_backcast,national_office,0
DE,Germany,1997,2081.0,2389.0,ses_backcast,national_office,0
DE,Germany,1998,2132.0,2447.0,ses_backcast,national_office,0
DE,Germany,1999,2194.0,2518.0,ses_backcast,national_office,0
DE,Germany,2000,2222.0,2551.0,ses_backcast,national_office,0
DE,Germany,2001,2280.0,2617.0,ses_backcast,national_office,0
DE,Germany,2002,2353.0,2701.0,ses_backcast,national_office,0
DE,Germany,2003,2425.0,2783.0,ses_backcast,national_office,0
DE,Germany,2004,2479.0,2846.0,ses_backcast,national_office,0
DE,Germany,2005,2527.0,2901.0,ses_backcast,national_office,0
DE,Germany,2006,2570.0,2950.0,ses_direct,national_office,0
DE,Germany,2007,2594.0,3023.0,ses_interp,national_office,0
DE,Germany,2008,2619.0,3103.0,ses_interp,national_office,0
DE,Germany,2009,2644.0,3141.0,ses_interp,national_office,0
DE,Germany,2010,2668.0,3227.0,ses_direct,national_office,0
DE,Germany,2011,2680.0,3311.0,ses_interp,national_office,0
DE,Germany,2012,2692.0,3391.0,ses_interp,national_office,0
DE,Germany,2013,2704.0,3449.0,ses_interp,national_office,0
DE,Germany,2014,2716.0,3527.0,ses_direct,national_office,0
DE,Germany,2015,2784.0,3612.0,ses_interp,national_office,0
DE,Germany,2016,2851.0,3703.0,ses_interp,national_office,0
DE,Germany,2017,2918.0,3771.0,ses_interp,national_office,0
DE,Germany,2018,2986.0,3880.0,ses_direct,national_office,0
DE,Germany,2019,3080.0,3994.0,ses_interp,national_office,0
DE,Germany,2020,3174.0,3975.0,ses_interp,national_office,0
DE,Germany,2021,3267.0,4100.0,ses_interp,national_office,0
DE,Germany,2022,3361.0,4284.0,ses_direct,national_office,0
DE,Germany,2023,3505.0,4468.0,ses_forecast,national_office,0
DE,Germany,2024,3680.0,4691.0,ses_forecast,national_office,0
DE,Germany,2025,3806.0,4851.0,ses_forecast,national_office,0
PL,Poland,2002,469.0,581.0,ses_backcast,national_office,0
PL,Poland,2003,424.0,526.0,ses_backcast,national_office,0
PL,Poland,2004,429.0,532.0,ses_backcast,national_office,0
PL,Poland,2005,502.0,623.0,ses_backcast,national_office,0
PL,Poland,2006,546.0,677.0,ses_direct,national_office,0
PL,Poland,2007,584.0,757.0,ses_interp,national_office,0
PL,Poland,2008,622.0,899.0,ses_interp,national_office,0
PL,Poland,2009,659.0,766.0,ses_interp,national_office,0
PL,Poland,2010,697.0,860.0,ses_direct,national_office,0
PL,Poland,2011,709.0,880.0,ses_interp,national_office,0
PL,Poland,2012,720.0,895.0,ses_interp,national_office,0
PL,Poland,2013,732.0,924.0,ses_interp,national_office,0
PL,Poland,2014,744.0,957.0,ses_direct,national_office,0
PL,Poland,2015,774.0,992.0,ses_interp,national_office,0
PL,Poland,2016,804.0,983.0,ses_interp,national_office,0
PL,Poland,2017,833.0,1064.0,ses_interp,national_office,0
PL,Poland,2018,863.0,1135.0,ses_direct,national_office,0
PL,Poland,2019,946.0,1206.0,ses_interp,national_office,0
