iso2,country,year,wage_median_eur,wage_median_ppp,pli,pli_source,source
AD,Andorra,2025,2173,2336.0,93.0,imf_derived,ratio_estimate
AL,Albania,2018,302,618.0,48.9,eurostat_pli,ses_survey
AL,Albania,2019,337,665.0,50.7,eurostat_pli,ses_interpolated
AL,Albania,2020,372,731.0,50.9,eurostat_pli,ses_interpolated
AL,Albania,2021,406,770.0,52.7,eurostat_pli,ses_interpolated
AL,Albania,2022,441,826.0,53.4,eurostat_pli,ses_survey
AL,Albania,2023,560,974.0,57.5,eurostat_pli,ratio_estimate
AL,Albania,2024,664,1076.0,61.7,eurostat_pli,mean_growth_projected
AL,Albania,2025,691,1056.0,65.4,imf_derived,mean_growth_projected
AL,Albania,2026,783,1206.0,64.9,imf_derived,mean_growth_projected
AL,Albania,2027,828,1285.0,64.4,imf_derived,mean_growth_projected
AL,Albania,2028,886,1365.0,64.9,imf_derived,mean_growth_projected
AL,Albania,2029,948,1454.0,65.2,imf_derived,mean_growth_projected
AL,Albania,2030,1015,1549.0,65.5,imf_derived,mean_growth_projected
AL,Albania,2031,1087,1650.0,65.9,imf_derived,mean_growth_projected
AM,Armenia,1999,30,106.0,28.3,imf_derived,ratio_estimate
AM,Armenia,2000,40,125.0,32.0,imf_derived,ratio_estimate
AM,Armenia,2001,42,129.0,32.6,imf_derived,ratio_estimate
AM,Armenia,2002,43,146.0,29.5,imf_derived,ratio_estimate
AM,Armenia,2003,46,186.0,24.7,imf_derived,ratio_estimate
AM,Armenia,2004,56,223.0,25.2,imf_derived,ratio_estimate
AM,Armenia,2005,79,264.0,29.9,imf_derived,ratio_estimate
AM,Armenia,2006,103,303.0,34.0,imf_derived,ratio_estimate
AM,Armenia,2007,137,355.0,38.6,imf_derived,ratio_estimate
AM,Armenia,2008,168,400.0,42.0,imf_derived,ratio_estimate
AM,Armenia,2009,163,427.0,38.2,imf_derived,ratio_estimate
AM,Armenia,2010,179,433.0,41.4,imf_derived,ratio_estimate
AM,Armenia,2011,180,444.0,40.5,imf_derived,ratio_estimate
AM,Armenia,2013,232,563.0,41.2,imf_derived,ratio_estimate
AM,Armenia,2014,248,609.0,40.7,imf_derived,ratio_estimate
AM,Armenia,2016,283,673.0,42.1,imf_derived,ratio_estimate
AM,Armenia,2017,282,683.0,41.3,imf_derived,ratio_estimate
AM,Armenia,2018,262,644.0,40.7,imf_derived,ratio_estimate
AM,Armenia,2019,294,697.0,42.2,imf_derived,ratio_estimate
AM,Armenia,2020,294,738.0,39.8,imf_derived,ratio_estimate
AM,Armenia,2021,295,752.0,39.2,imf_derived,ratio_estimate
AM,Armenia,2022,443,851.0,52.0,imf_derived,ratio_estimate
AM,Armenia,2023,550,1008.0,54.5,imf_derived,ratio_estimate
AM,Armenia,2024,584,1091.0,53.5,imf_derived,ratio_estimate
AM,Armenia,2025,599,1144.0,52.4,imf_derived,ratio_estimate
AM,Armenia,2026,670,1326.0,50.5,imf_derived,ratio_estimate
AM,Armenia,2027,708,1435.0,49.3,imf_derived,ratio_estimate
AM,Armenia,2028,749,1539.0,48.7,imf_derived,ratio_estimate
AM,Armenia,2029,805,1656.0,48.6,imf_derived,ratio_estimate
AM,Armenia,2030,867,1784.0,48.6,imf_derived,ratio_estimate
AM,Armenia,2031,934,1922.0,48.6,imf_derived,ratio_estimate
AT,Austria,1995,1803,1542.0,116.9,eurostat_pli,mean_growth_backcast
AT,Austria,1996,1783,1579.0,112.9,eurostat_pli,mean_growth_backcast
AT,Austria,1997,1744,1574.0,110.8,eurostat_pli,mean_growth_backcast
