iso2,country,year,wage_median_eur,source
AD,Andorra,2025,2173,ratio_estimate
AL,Albania,2018,302,ses_survey
AL,Albania,2019,337,ses_interpolated
AL,Albania,2020,372,ses_interpolated
AL,Albania,2021,406,ses_interpolated
AL,Albania,2022,441,ses_survey
AM,Armenia,1999,30,ratio_estimate
AM,Armenia,2000,40,ratio_estimate
AM,Armenia,2001,42,ratio_estimate
AM,Armenia,2002,43,ratio_estimate
AM,Armenia,2003,46,ratio_estimate
AM,Armenia,2004,56,ratio_estimate
AM,Armenia,2005,79,ratio_estimate
AM,Armenia,2006,103,ratio_estimate
AM,Armenia,2007,137,ratio_estimate
AM,Armenia,2008,168,ratio_estimate
AM,Armenia,2009,163,ratio_estimate
AM,Armenia,2010,179,ratio_estimate
AM,Armenia,2011,180,ratio_estimate
AM,Armenia,2013,232,ratio_estimate
AM,Armenia,2014,248,ratio_estimate
AM,Armenia,2016,283,ratio_estimate
AM,Armenia,2017,282,ratio_estimate
AM,Armenia,2018,262,ratio_estimate
AM,Armenia,2019,294,ratio_estimate
AM,Armenia,2020,294,ratio_estimate
AM,Armenia,2021,295,ratio_estimate
AM,Armenia,2022,443,ratio_estimate
AM,Armenia,2023,550,ratio_estimate
AM,Armenia,2024,584,ratio_estimate
AM,Armenia,2025,599,ratio_estimate
AM,Armenia,2026,670,ratio_estimate
AM,Armenia,2027,708,ratio_estimate
AM,Armenia,2028,749,ratio_estimate
AM,Armenia,2029,805,ratio_estimate
AM,Armenia,2030,867,ratio_estimate
AM,Armenia,2031,934,ratio_estimate
AT,Austria,1995,1803,mean_growth_backcast
AT,Austria,1996,1783,mean_growth_backcast
AT,Austria,1997,1744,mean_growth_backcast
AT,Austria,1998,1791,mean_growth_backcast
AT,Austria,1999,1838,mean_growth_backcast
AT,Austria,2000,1884,mean_growth_backcast
AT,Austria,2001,1911,mean_growth_backcast
AT,Austria,2002,1952,mean_growth_backcast
AT,Austria,2003,1984,mean_growth_backcast
AT,Austria,2004,2018,mean_growth_backcast
AT,Austria,2005,2064,mean_growth_backcast
AT,Austria,2006,2129,ses_survey
AT,Austria,2007,2176,ses_interpolated
AT,Austria,2008,2222,ses_interpolated
AT,Austria,2009,2268,ses_interpolated
AT,Austria,2010,2315,ses_survey
AT,Austria,2011,2386,ses_interpolated
AT,Austria,2012,2458,ses_interpolated
AT,Austria,2013,2530,ses_interpolated
AT,Austria,2014,2601,ses_survey
AT,Austria,2015,2654,ses_interpolated
AT,Austria,2016,2707,ses_interpolated
