year,wage_pln,currency,notes
1990,1029000,PLZ,pre-redenomination old zloty
1991,1770000,PLZ,pre-redenomination old zloty
1992,2900000,PLZ,pre-redenomination old zloty
1993,3844000,PLZ,pre-redenomination old zloty
1994,5328000,PLZ,pre-redenomination old zloty
1995,702,PLN,redenomination 10000:1 on 1995-01-01
1996,873,PLN,
1997,1065,PLN,
1998,1239,PLN,
1999,1706,PLN,
2000,1923,PLN,
2001,2062,PLN,
2002,2133,PLN,
2003,2201,PLN,
2004,2290,PLN,
2005,2380,PLN,
2006,2477,PLN,
2007,2691,PLN,
2008,2944,PLN,
2009,3103,PLN,
2010,3225,PLN,
2011,3400,PLN,
2012,3521,PLN,
2013,3650,PLN,
2014,3783,PLN,
2015,3900,PLN,
2016,4047,PLN,
2017,4272,PLN,
2018,4585,PLN,
2019,4918,PLN,
2020,5167,PLN,
2021,5662,PLN,
2022,6346,PLN,
2023,7155,PLN,
2024,8024,PLN,
2025,8600,PLN,estimate
