year,wage_local,currency,notes
1990,303,SUR,Soviet ruble
1991,548,SUR,Soviet ruble final year
1992,5995,RUR,Russian ruble hyperinflation
1993,58663,RUR,
1994,220351,RUR,
1995,472392,RUR,
1996,790210,RUR,
1997,950205,RUR,
1998,1051,RUB,redenomination 1000:1 on 1998-01-01
1999,1523,RUB,post-crisis recovery
2000,2223,RUB,
2001,3240,RUB,
2002,4360,RUB,
2003,5499,RUB,
2004,6740,RUB,
2005,8555,RUB,
2006,10634,RUB,
2007,13593,RUB,
2008,17290,RUB,
2009,18638,RUB,
2010,20952,RUB,
2011,23369,RUB,
2012,26629,RUB,
2013,29792,RUB,
2014,32495,RUB,
2015,34030,RUB,ruble devaluation
2016,36709,RUB,
2017,39167,RUB,
2018,43724,RUB,
2019,47867,RUB,
2020,51344,RUB,
2021,57244,RUB,
2022,65338,RUB,
2023,73709,RUB,
2024,82000,RUB,estimate
2025,88000,RUB,estimate
