year,wage_local,currency,notes
1990,5500,YUD,Yugoslav dinar - SFRY period
1991,12000,YUD,hyperinflation beginning
1992,800000,YUD,hyperinflation
1993,500000000,YUD,hyperinflation peak
1994,150,YUN,new dinar redenomination Jan 1994
1995,210,YUN,
1996,280,YUN,
1997,320,YUN,
1998,340,YUN,
1999,250,YUN,NATO bombing economic collapse
2000,300,YUM,
2001,7824,CSD,Serbian dinar after FRY reforms (monthly avg)
2002,11500,CSD,
2003,14880,RSD,rebranded to RSD
2004,17443,RSD,
2005,21707,RSD,
2006,27785,RSD,
2007,31746,RSD,
2008,38744,RSD,
2009,31733,RSD,
2010,34142,RSD,
2011,37790,RSD,
2012,41377,RSD,
2013,43797,RSD,
2014,44530,RSD,
2015,44432,RSD,
2016,46097,RSD,
2017,47893,RSD,
2018,49637,RSD,
2019,54919,RSD,
2020,60073,RSD,
2021,68629,RSD,
2022,81530,RSD,
2023,96832,RSD,
2024,110000,RSD,estimate
2025,120000,RSD,estimate
