year,wage_local,currency,notes
1990,3078,CSK,Czechoslovak koruna
1991,3500,CSK,
1992,4200,CSK,
1993,5379,SKK,Slovak koruna from Jan 1993
1994,6294,SKK,
1995,7195,SKK,
1996,8154,SKK,
1997,9226,SKK,
1998,10003,SKK,
1999,10728,SKK,
2000,11430,SKK,
2001,12365,SKK,
2002,13511,SKK,
2003,14365,SKK,
2004,15825,SKK,
2005,17274,SKK,
2006,18761,SKK,
2007,20146,SKK,
2008,21782,SKK,
2009,744,EUR,euro adoption 2009-01-01 at 30.126 SKK
2010,769,EUR,
2011,786,EUR,
2012,805,EUR,
2013,824,EUR,
2014,858,EUR,
2015,883,EUR,
2016,912,EUR,
2017,954,EUR,
2018,1013,EUR,
2019,1092,EUR,
2020,1133,EUR,
2021,1211,EUR,
2022,1304,EUR,
2023,1430,EUR,
2024,1520,EUR,
2025,1600,EUR,estimate
