year,wage_local,currency,notes
1996,126,UAH,hryvnia introduced Sep 1996
1997,143,UAH,
1998,153,UAH,
1999,178,UAH,
2000,230,UAH,
2001,311,UAH,
2002,376,UAH,
2003,462,UAH,
2004,590,UAH,
2005,806,UAH,
2006,1041,UAH,
2007,1351,UAH,
2008,1806,UAH,
2009,1906,UAH,
2010,2239,UAH,
2011,2633,UAH,
2012,3026,UAH,
2013,3265,UAH,
2014,3480,UAH,Crimea annexation crisis
2015,4195,UAH,massive devaluation
2016,5183,UAH,
2017,7104,UAH,
2018,8865,UAH,
2019,10497,UAH,
2020,11591,UAH,
2021,14282,UAH,
2022,14577,UAH,Russian invasion
2023,17372,UAH,
2024,20000,UAH,estimate
2025,22000,UAH,estimate
