country,gross_eur,net_eur,net_ppp_usd,net_to_gross,fx_to_eur,date
Albania,884.0,708.0,1533.0,0.8,0.0098,2026 (Q1)
Andorra,2515.0,2351.0,3679.0,0.93,1.0,2024-09
Armenia,679.0,496.0,1424.0,0.73,0.0022,2026-06
Austria,5497.0,3778.0,5244.0,0.69,1.0,2024
Azerbaijan,588.0,507.0,1865.0,0.86,0.5006,2026-06
Belarus,861.0,741.0,3151.0,0.86,0.2773,2026-06
Belgium,4076.0,2631.0,3377.0,0.65,1.0,2022
Bosnia and Herzegovina,1359.0,870.0,2213.0,0.64,0.4906,2026-05
Bulgaria,1443.0,1120.0,2701.0,0.78,1.0,2026-Q2
Croatia,2183.0,1555.0,2986.0,0.71,1.0,2026-03
Cyprus,2932.0,2389.0,4034.0,0.84,1.0,2025 (Q4)
Czech Republic,2075.0,1641.0,2714.0,0.79,0.0413,2026 (Q1)
Denmark,6925.0,4670.0,5152.0,0.64,0.134,2024
Estonia,2215.0,1820.0,2709.0,0.77,1.0,2026-03
Finland,4252.0,3105.0,3872.0,0.59,1.0,2025 (Q4)
France,3602.0,2733.0,3812.0,0.76,1.0,2024
Georgia,734.0,587.0,1739.0,0.8,0.3104,2026 (Q1)
Germany,4851.0,3008.0,4184.0,0.62,1.0,2025 excl. special payments
Greece,1415.0,1098.0,1893.0,0.79,1.0,2025 (Q1)
Hungary,1984.0,1418.0,2669.0,0.7,0.0026,2026-05
Iceland,5660.0,3871.0,3704.0,0.68,0.0067,2024
Ireland,5307.0,3349.0,3705.0,0.79,1.0,2025 (Q4)
Italy,2791.0,2017.0,3194.0,0.72,1.0,2023
Kazakhstan,754.0,618.0,1982.0,0.82,0.0016,2026 (Q1)
Kosovo,713.0,636.0,1647.0,0.86,1.0,2025
Latvia,1831.0,1364.0,2470.0,0.75,1.0,2026 (Q1)
Lithuania,2554.0,1557.0,2833.0,0.61,1.0,2026 (Q1)
Luxembourg,6118.0,4086.0,4810.0,0.66,1.0,2023
Malta,1833.0,1507.0,2581.0,0.79,1.0,2024 (Q4)
Moldova,783.0,627.0,1459.0,0.8,0.049,2026 (Q1)
Montenegro,1234.0,1033.0,2353.0,0.84,1.0,2026-05
Netherlands,5190.0,3771.0,5063.0,0.72,1.0,2023
North Macedonia,1160.0,772.0,2213.0,0.66,0.0156,2026-05
Norway,5241.0,3828.0,4533.0,0.73,0.0844,2025
Poland,2227.0,1597.0,3266.0,0.72,0.2369,2026-06
Portugal,2190.0,1496.0,2603.0,0.68,1.0,2025 (Q4)
Romania,1943.0,1165.0,2723.0,0.6,0.1962,2026-03
Russia,1109.0,965.0,3085.0,0.87,0.0102,2026-04
San Marino,2629.0,2629.0,3558.0,1.0,1.0,2024-10
Serbia,1425.0,1037.0,2298.0,0.72,0.0082,2026-03
Slovakia,1611.0,1211.0,2141.0,0.76,1.0,2025 (Q4)
Slovenia,2682.0,1680.0,2834.0,0.62,1.0,2026-05
Spain,2818.0,2136.0,3630.0,0.76,1.0,2024
Sweden,3964.0,3174.0,3864.0,0.8,0.0874,2025
Switzerland,7372.0,5769.0,4965.0,0.78,1.0495,2024
Turkey,1474.0,816.0,2718.0,0.55,0.039,2023
Ukraine,669.0,515.0,2128.0,0.77,0.0204,2026-06
United Kingdom,4807.0,3495.0,4348.0,0.73,1.146,2025 (Apr) ASHE full-time mean TOTAL
